Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Jared Moss,carlos74@example.org,21,Not at all,Several days,Several days,Nearly every day,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Several days,5,2,Low,Low
Mark Howard,lwolfe@example.org,19,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,Several days,More than half the days,5,1,Low,Low
Craig Harris,austinbean@example.com,18,Not at all,Several days,Several days,Several days,Several days,Not at all,Several days,Several days,Nearly every day,Several days,More than half the days,Nearly every day,Not at all,5,3,Low,Low
Denise Moss,bethany89@example.com,21,Several days,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,More than half the days,Several days,Several days,3,5,Low,Low
Zachary Wallace,jrich@example.net,17,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Several days,More than half the days,Not at all,Several days,3,0,Low,Low
John Thomas,xarmstrong@example.net,18,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,More than half the days,2,4,Low,Low
Heather Boyd,rpierce@example.com,19,Not at all,Nearly every day,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Nearly every day,Several days,Several days,Not at all,4,4,Low,Low
Gregory Cardenas,hudsonwilliam@example.org,21,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Nearly every day,Several days,Several days,1,3,Low,Low
Jessica Bryan,pageandrew@example.com,20,Not at all,Several days,Several days,More than half the days,Not at all,Several days,Not at all,More than half the days,Nearly every day,Several days,Not at all,Not at all,Not at all,5,1,Low,Low
Brent Moore,dillonmonica@example.net,20,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,More than half the days,Not at all,Several days,Not at all,1,5,Low,Low
Randall Decker,daviskimberly@example.org,19,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Several days,More than half the days,Not at all,Several days,2,3,Low,Low
Jamie Thomas,damon95@example.com,19,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,2,2,Low,Low
April Harrison,mitchelljason@example.org,17,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,More than half the days,Several days,More than half the days,3,4,Low,Low
Cynthia Johnson,ldavis@example.org,21,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Not at all,Nearly every day,More than half the days,Nearly every day,Several days,Not at all,Nearly every day,4,5,Low,Low
Joseph Hughes,justinnewton@example.com,19,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,Not at all,Several days,Nearly every day,Several days,Nearly every day,3,4,Low,Low
Nathan Zuniga,denisearnold@example.org,20,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Several days,More than half the days,Several days,More than half the days,2,2,Low,Low
David Beck,davidmatthews@example.net,20,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,2,4,Low,Low
John Lewis,cranethomas@example.org,19,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Several days,Not at all,More than half the days,More than half the days,1,0,Low,Low
Christine Schultz,deborahreed@example.com,19,Not at all,More than half the days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Several days,More than half the days,Not at all,Several days,3,2,Low,Low
Christopher Hoover,ygarza@example.net,20,Several days,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,More than half the days,Several days,More than half the days,Not at all,Several days,4,4,Low,Low
Brad Hernandez,sarah09@example.org,19,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,More than half the days,Nearly every day,More than half the days,Several days,More than half the days,2,4,Low,Low
Gail Thompson,michealperry@example.org,18,More than half the days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Not at all,Not at all,Several days,Several days,Nearly every day,3,1,Low,Low
Peter Reynolds,pricediana@example.com,17,Several days,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Nearly every day,Not at all,3,3,Low,Low
Elizabeth Mcdaniel,jeffreywest@example.com,18,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,1,3,Low,Low
Mrs. Cynthia Webb,shannon74@example.org,21,Not at all,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,More than half the days,Several days,Not at all,Several days,Nearly every day,More than half the days,4,2,Low,Low
Joshua Sparks,edward15@example.net,18,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,Several days,Nearly every day,1,1,Low,Low
Tiffany Gates,darryllawson@example.com,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Not at all,Several days,0,4,Low,Low
Kenneth Green,garnerandrea@example.com,20,Not at all,Not at all,Several days,More than half the days,Several days,Not at all,Not at all,Nearly every day,Several days,Several days,Not at all,Not at all,Nearly every day,4,3,Low,Low
Kristin Duffy,cynthialong@example.com,17,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Not at all,Nearly every day,Several days,Several days,Several days,Nearly every day,Not at all,4,3,Low,Low
Pamela Dixon,williamskimberly@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,0,4,Low,Low
Morgan Key,espinozaalexandria@example.com,17,More than half the days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,4,1,Low,Low
Kaitlyn Rodriguez,qbarton@example.org,21,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Not at all,Not at all,Not at all,3,3,Low,Low
Sean Fox,courtneycook@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,Not at all,Nearly every day,0,1,Low,Low
Tracy Hunt,rjackson@example.com,19,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Several days,Several days,More than half the days,More than half the days,Nearly every day,1,4,Low,Low
Brandon Evans,alyssaramirez@example.net,20,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,1,3,Low,Low
Travis Whitehead,emilyhernandez@example.org,19,More than half the days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Several days,Not at all,Several days,Several days,4,1,Low,Low
Mr. Clinton Cline,heathergentry@example.net,21,Several days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,3,0,Low,Low
Amanda Vaughn,kinglinda@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,0,4,Low,Low
Gail Leach,carolyngalloway@example.com,17,Not at all,Several days,Several days,Not at all,Not at all,More than half the days,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,Several days,4,2,Low,Low
Taylor Adams,krivera@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,More than half the days,More than half the days,More than half the days,Several days,Not at all,1,1,Low,Low
Pamela Cobb,smclaughlin@example.com,18,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Not at all,More than half the days,Several days,More than half the days,Several days,Several days,More than half the days,2,4,Low,Low
Timothy Castillo,randall11@example.net,19,Not at all,More than half the days,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,Not at all,4,2,Low,Low
Jay Smith,rarmstrong@example.org,19,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,More than half the days,2,4,Low,Low
Jesse Hoffman,utran@example.net,19,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,More than half the days,Several days,Not at all,More than half the days,2,4,Low,Low
Mitchell Morales,georgebrandy@example.net,21,Not at all,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Several days,Not at all,Not at all,More than half the days,Several days,3,0,Low,Low
Kyle Holt,bautistajamie@example.org,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Not at all,Not at all,Several days,0,0,Low,Low
Christopher Benson,kknox@example.net,18,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,More than half the days,Several days,Several days,Several days,More than half the days,2,3,Low,Low
Robert Conway,dillon86@example.org,19,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,Not at all,2,1,Low,Low
Tammy Wang,karen20@example.org,20,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,More than half the days,Not at all,Not at all,Several days,Not at all,2,5,Low,Low
Amy Smith,jenniferbrown@example.com,19,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,2,0,Low,Low
Daniel Garcia,umann@example.net,19,Not at all,Several days,Several days,Several days,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Nearly every day,4,1,Low,Low
Joshua Stevens,david31@example.net,19,Nearly every day,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Nearly every day,Several days,More than half the days,4,0,Low,Low
